created_at,text
2019-03-05 07:05:27,"['rt', '@', 'xcintakiehlx', ':', 'jadi', 'presiden', 'itu', 'berat', '!', 'biar', 'pak', '@', 'jokowi', 'saja', '!', '👍', 'https', ':', '//t.co/5inzxk5aeq']"
2019-03-05 07:05:27,"['rt', '@', 'r_gun4w4n', ':', 'selamat', 'berjuang', 'pak', '@', 'ekosandjojo', 'semoga', 'sukses', 'mewakili', 'masyarakat', 'bengkulu', 'mewujudkan', 'indonesia', 'maju', '...', '✊', 'satukan', 'indones…']"
2019-03-05 07:05:25,"['@', 'ustadtengkuzul', 'satu', 'persatu', 'orang', 'yg', 'sering', 'nyinyir', 'ke', 'bpk', 'jokowi', ',', 'di', 'buka', 'aibnya', ',', ',', 'selanjutnya', 'siapa', 'lagi', 'yg', 'ak…', 'https', ':', '//t.co/3axis4trbh']"
2019-03-05 07:05:24,"['@', 'partaisocmed', '@', 'alhe_507', 'saya', 'suka', 'kalau', 'makasar', 'begerak', 'mendukung', '@', 'jokowi', '.', 'kantong', 'kantong', 'suara', 'koh', 'wowo', 'harus', 'di…', 'https', ':', '//t.co/f0laomvgpn']"
2019-03-05 07:05:24,"['rt', '@', 'mcaops', ':', 'tindakan', 'represif', 'aparat', 'kepolisian', 'terhadap', 'mahasiswa', 'muhammadiyah', 'di', 'kendari', 'dikecam', '.', ""''insiden"", 'tersebut', 'menjadi', 'bukti', 'bahwa…']"
2019-03-05 07:05:21,"['rt', '@', 'jokowi', ':', 'menerima', 'kedatangan', '371', 'siswa', 'sma', 'taruna', 'nusantara', 'di', 'istana', 'bogor', ',', 'kemarin', '.', 'mereka', 'datang', 'dengan', 'seragam', 'biru', 'dan', 'dasi', 'hitam', ',', '…']"
2019-03-05 07:05:21,"['rt', '@', 'xcintakiehlx', ':', 'jadi', 'presiden', 'itu', 'berat', '!', 'biar', 'pak', '@', 'jokowi', 'saja', '!', '👍', 'https', ':', '//t.co/5inzxk5aeq']"
2019-03-05 07:05:19,"['@', 'suciberani', 'salam', '2', 'periode', 'untuk', 'kemenangan', 'jokowi', '2', 'periode']"
2019-03-05 07:05:19,"['@', 'budimandjatmiko', 'survey', 'roy', 'suroy', 'jokowi', '10', '%', 'prabowo', '80', '%', 'nurhadi', '10', '%', '#', 'takutkalahgakmaucuti']"
2019-03-05 07:05:19,"['deklarasi', 'dukungan', 'gus', ',', 'lora', 'dan', 'tokoh', 'muda', '``', 'barisan', 'muda', 'aswaja', 'an-nahdliyah', 'indonesia', '(', 'barmawi', ')', ""''"", 'kab', '.', 'jember', 'untu…', 'https', ':', '//t.co/vxppoy3h43']"
2019-03-05 07:05:18,"['rt', '@', 'xcintakiehlx', ':', 'jadi', 'presiden', 'itu', 'berat', '!', 'biar', 'pak', '@', 'jokowi', 'saja', '!', '👍', 'https', ':', '//t.co/5inzxk5aeq']"
2019-03-05 07:05:17,"['rt', '@', 'isekaihero', ':', 'dan', 'akhirnye', 'para', 'buzzer', 'laknat', 'peliharaan', '@', 'jokowi', 'dan', 'para', 'cebongnya', 'gagal', 'klimaks', '.', '😂', '✓', 'polisi', 'tegaskan', 'andi', 'arief', 'sendir…']"
2019-03-05 07:05:17,"['@', 'detikfinance', '@', 'jokowi', 'lapangan', 'pekerjaan', 'dan', 'sdm', 'yg', 'tinggi', 'lebih', 'penting', 'buat', 'kemajuan', 'negeri', 'ini', 'di', 'masa', 'depan']"
2019-03-05 07:05:15,"['rt', '@', 'imanlagi', ':', 'pokoknya', 'salah', 'jokowi', 'https', ':', '//t.co/kbrtv9zeid']"
2019-03-05 07:05:14,"['jokowi', 'mau', 'gaji', 'pengangguran', ',', 'penting', 'nggak', 'sih', '?', 'https', ':', '//t.co/rs0ld2eygt']"
2019-03-05 07:05:13,"['rt', '@', 'candraasmara85', ':', 'guys', '...', 'lupakan', 'andi', 'sang', 'contoh', 'buruk', 'tuk', 'bangsa', 'ini', '.', 'lihatlah', ',', 'saksikan', '!', 'btapa', 'gebyar', '&', 'amp', ';', 'membaranya', 'anak', 'bangsa', 'di…']"
2019-03-05 07:05:13,"['u', 'jatuh', '?', 'salah', 'jokowi', 'u', 'miskin', '?', 'salah', 'jokowi', 'u', 'sakit', '?', 'salah', 'jokowi', 'u', 'tewas', '?', 'salah', 'jokowi', 'enaknya', 'bs', 'nyalahin', 'orang…', 'https', ':', '//t.co/wcwk9heq0k']"
2019-03-05 07:05:12,"['rt', '@', 'budimandjatmiko', ':', 'survei', 'roy', 'morgan', ':', 'di', 'pedesaan', ',', 'jokowi', '63,5', '%', '&', 'amp', ';', 'prabowo', '36,5', '%', '|', 'https', ':', '//t.co/agi3jkpttk', 'https', ':', '//t.co/2h2lzp2u2a']"
2019-03-05 07:05:10,"['@', 'xcintakiehlx', '@', 'jokowi', 'kalo', 'kak', 'cinta', 'yang', 'nyaranin', ',', 'okelah', 'saya', 'ajak', '10', 'rb', 'anggota', 'komunitas', 'saya', 'untuk', 'pilih', '01', '.', 'b…', 'https', ':', '//t.co/ocxg25zy7h']"
2019-03-05 07:05:10,"['rt', '@', 'detikcom', ':', 'seorang', 'ibu', 'menyebut', 'pemerintahan', '@', 'jokowi', 'akan', 'menghapus', 'kurikulum', 'agama', '.', 'menariknya', ',', 'ibu', 'ini', 'menggunakan', 'atribut', 'pks', 'dalam', 'k…']"
2019-03-05 07:05:06,"['rt', '@', 'ecosocrights', ':', 'pokoknya', 'kasih', 'janji', 'dulu', ',', 'ngitung', 'kemudian', '.', 'kalau', 'nggak', 'masuk', 'akal', 'gampang', ',', 'nanti', 'tinggal', 'dibatalkan', '.', 'sama', 'spt', 'nawacita', ',', '…']"
2019-03-05 07:05:05,"['rt', '@', 'dr_stein08', ':', 'mana', 'yang', 'benar', 'pak', 'jokowi', '?', 'lahir', 'di', 'pinggir', 'kali', 'atau', 'di', 'rumah', 'sakit', '?', 'https', ':', '//t.co/o8sdspmm2q']"
2019-03-05 07:05:04,"['rt', '@', 'xcintakiehlx', ':', 'jadi', 'presiden', 'itu', 'berat', '!', 'biar', 'pak', '@', 'jokowi', 'saja', '!', '👍', 'https', ':', '//t.co/5inzxk5aeq']"
2019-03-05 07:05:04,"['rt', '@', 'gunromli', ':', 'dari', 'pecandu', 'narkoba', 'smpe', 'penyebar', 'hoax', ',', 'satu', 'gerombolan', 'dalam', 'pemenangan', '.', 'mau', 'mereka', 'menang', '?', 'negeri', 'ini', 'akan', 'bentumpuk', 'narko…']"
2019-03-05 07:05:03,"['rt', '@', 'manompangfhtp', ':', 'enaknya', 'dizaman', '@', 'jokowi', 'ya', 'begini', ',', 'dibiayain', 'kuliah', 'hingga', 'keluar', 'negeri', '.', '#', 'sdmpremium', 'bisa', 'terwujud', '...', 'https', ':', '//t.co/ess2…']"
2019-03-05 07:05:03,"['rt', '@', 'nusantaratho', ':', 'pak', 'presiden', '@', 'jokowi', 'paparkan', 'dua', 'kunci', 'utama', 'pembangunan', 'sdm', '...', '✍', '#', 'sdmpremium', '#', '01indonesiamaju', '@', 'pak_jk', '@', 'hanifdhakiri', 'h…']"
2019-03-05 07:05:03,"['rt', '@', 'xcintakiehlx', ':', 'jadi', 'presiden', 'itu', 'berat', '!', 'biar', 'pak', '@', 'jokowi', 'saja', '!', '👍', 'https', ':', '//t.co/5inzxk5aeq']"
