created_at,text
2019-03-13 11:55:19,"RT @Cobeh09: Terkait Pembebasan Siti Aisyah
- Jokowi :
""Ini Hasil Dari Proses Panjang,
Upaya Pendekatan Yang Dilakukan Oleh
-Kedutaan,
-Kem…"
2019-03-13 11:55:19,"RT @Airin_NZ: @hana_4TAA Seru yaa..
Kalau dulu ada goyang Cesar kayaknya Goyang Jempol Jokowi Gaspol kayaknya seru nih..

@TheArieAir pie m…"
2019-03-13 11:55:18,"RT @ardi_riau: Saya rasa, @AntoniRaja ini kalau ngomong, ga gosok gigi dulu, jadi apa yang dia ucapkan, bau banget. @AntoniRaja , lu ngomon…"
2019-03-13 11:55:17,"@lebihbaikjokowi @C_lontong @jokowi Harusnya tanya ""Kenapa hutang buat bangus infrastruktur?""
Kenapa kebanyakan swa… https://t.co/n4jmeO4myA"
2019-03-13 11:55:17,"@antaranews YA, INGAT KORBAN PENCULIKAN YANG DILAKUKAN SERDADU BIADAB PRABOWO.

DAN JANGAN LUPAKAN KORBAN GENOSIDA… https://t.co/liHc5OGOVc"
2019-03-13 11:55:17,"BPN Prabowo-Sandi: Lawan Kami Bukan TKN Jokowi-Maruf, Tapi Aparat Negara https://t.co/LXOWEcOIux"
2019-03-13 11:55:16,"RT @hotradero: Masalah dengan Prabowo: selama 4 tahun terakhir nganggur.  Nggak mengerjakan apa-apa.   

Sementara Jokowi serius bekerja.…"
2019-03-13 11:55:16,"@chicohakim @psi_id @jokowi Apalagi manusia, harusnya juga punya naluri yang lebih lagi untuk menyusui sendiri anak yang dilahirkannya..."
2019-03-13 11:55:16,@jokowi Saya suka BOLA tapi sering dibrengsekan KAMERAMEN lokal dengan MORAL rendahan nya sangat BAJINGAN luar biasa.
2019-03-13 11:55:15,@importirair @jokowi Mantul mas bro.. 👍
2019-03-13 11:55:15,"RT @CakKhum: ""Saya lihat ini jurus terakhir aja. Udah enggak punya jurus lagi orang begitu. Kalau orang udah enggak punya jurus ya gigit, a…"
2019-03-13 11:55:14,"Dan kasus ini salah satu yang akan menggilas elektabilitas Jokowi, apalagi bila sampai dibawa ke dunia internasiona… https://t.co/oy5X71roZF"
2019-03-13 11:55:11,Jokowi menginginkan Tasikmalaya terhubung dengan wilayah Indonesia lainnya dengan mudah. #01MembangunNegeri
2019-03-13 11:55:10,"RT @hotradero: Masalah dengan Prabowo: selama 4 tahun terakhir nganggur.  Nggak mengerjakan apa-apa.   

Sementara Jokowi serius bekerja.…"
2019-03-13 11:55:10,"@habibthink tuh pret baca, makanya jangan kerjanya membangun kebohongan aja, liat tuh pak Jokowi lagi sibuk membang… https://t.co/kjEMYFUjYa"
2019-03-13 11:55:10,"RT @lebihbaikjokowi: .@C_lontong : ""Kenapa waktu Pak @jokowi PDKT sama Ibu Iriana ngajaknya makan bakso?""
@jokowi : ""Ya kalau diajak makan…"
2019-03-13 11:55:10,"RT @AryPrasetyo_85: Kura kura dalam perahu....

Pura pura dukung 01...
@FBR_official
Padahal ada udang di balik batu
@erickthohir @jokowi @…"
2019-03-13 11:55:09,Jokowi menginginkan Tasikmalaya terhubung dengan wilayah Indonesia lainnya dengan mudah. #01MembangunNegeri
2019-03-13 11:55:07,Jokowi menginginkan Tasikmalaya terhubung dengan wilayah Indonesia lainnya dengan mudah. #01MembangunNegeri
2019-03-13 11:55:06,"RT @BK52BersamaJKW: Antusiasme WNI di luar negeri dlm mndkg @jokowi menunjukan bahwa Presiden @jokowi , pribadi dan kinerjanya membanggakan…"
